Company,Aviation,Engineering,Fire Domestic,Fire Industrial,Liability,Marine,Motor Private,Motor Commercial,Motor Commercial PSV,Personal Accident,Theft,Workmens' Compensation,Medical,Miscellaneous,Total,quarter
INTRA-AFRICA ASSURANCE ,0.0,107425.24,33057.992,262257.119,18406.752,79217.704,281542.654,154963.934,25247.882,12110.053,48357.87,159849.936,0.0,166599.11,1349036.246,Q1_2026
JUBILEE HEALTH INSURANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4956327.1334643,0.0,4956327.1334643,Q1_2026
KENINDIA ASSURANCE COMPANY ,0.0,88913.3,11729.334,333850.083,24053.069,48810.016,149076.128,137576.64,0.0,5418.792,89982.322,90486.31,43972.143,7020.67,1030888.807,Q1_2026
KENYA ORIENT INSURANCE,0.0,21941.547,7665.824,34592.495,14005.39,317.785,91955.153,42337.981,2935.051,1538.949,44773.224,54995.661,0.0,133478.432,450537.492,Q1_2026
MADISON INSURANCE COMPANY,0.0,61461.118,10161.392,177334.845,113351.891,12158.47,220806.674,1137233.43062,0.0,32981.553,126362.988,177931.388,1509588.76358,108282.79738,3687655.31058,Q1_2026
MAYFAIR INSURANCE COMPANY,327291.502,291419.034,73600.533,1169122.183,108626.759,365636.729,328536.14,331913.044,11461.366,31419.978,155971.867,367109.916,0.0,378752.829,3940861.88,Q1_2026
MUA INSURANCE COMPANY,2702.903,5831.291,2099.147,113726.24826,21126.951,36466.40622,87439.05965999998,16061.17828,0.0,740.804,2282.143,12706.625,344865.30675,6984.91341,653032.9765799999,Q1_2026
NCBA INSURANCE COMPANY,0.0,6198.90883,31768.56088999999,241300.3971899999,301126.6492100001,18183.49311,334887.24819,97350.26962,0.0,54200.37011999942,12327.19959,68162.18,0.0,71.039,1165576.315749999,Q1_2026
OCCIDENTAL INSURANCE COMPANY ,12448.842,37795.303,10069.333,99424.793,2884.827,23693.772,92846.347,148834.578,0.0,9235.463,25787.79,55007.79,0.0,22859.291,540888.129,Q1_2026
OLD MUTUAL GENERAL INSURANCE ,82.0,331477.2633499998,78269.35171000003,475369.9109199999,141987.26878,45351.56030999999,540564.73075,512678.6136499998,0.0,35894.161839999,207368.4169499999,136295.41283,4715396.383319996,80257.92884000001,7300993.003249994,Q1_2026
PACIS INSURANCE COMPANY,0.0,6292.291,6058.514,81297.018,4423.588,1869.936,219550.097,286244.621,23811.304,15794.789,16370.568,72754.564,654597.4202400001,1156.715,1390221.42524,Q1_2026
PIONEER INSURANCE COMPANY,5863.487349,33510.517,7535.525,76535.428664,38242.28490999999,26526.0475,446635.355946,279760.240342,0.0,11236.368,13307.625,41630.044,0.0,21875.422,1002658.345711,Q1_2026
SANLAM ALLIANZ GENERAL INSURANCE,0.0,78304.532,25829.741,926343.055,69008.325,62760.287,711940.311,459933.801,0.0,4619.931,191387.602,10480.141,0.0,0.0,2540607.726,Q1_2026
STAR DISCOVER INSURANCE,42.9,13609.608,0.0,5606.428,312.8,331.371,15313.666,15297.681,0.0,337.625,343.575,6656.548,841982.81,7495.672,907330.684,Q1_2026
TAKAFUL INSURANCE OF AFRICA,0.0,16022.352,1389.606,19454.535,24190.992,7082.891,75494.306,242793.4304,0.0,1224.029,14026.341,23599.472,10870.101,14036.28,450184.3354,Q1_2026
TAUSI ASSURANCE COMPANY,0.0,106251.961,46246.558,517654.317,39912.794,69354.217,135456.82,124510.307,0.0,5190.59,83987.452,191823.362,2383.443,7675.594,1330447.415,Q1_2026
THE HERITAGE INSURANCE COMPANY,19560.328,32858.573,60219.59,277468.746,83839.057,28426.636,367194.306,205898.808,0.0,81107.642,53546.529,189306.092,1824193.784,185945.197,3409565.288,Q1_2026
THE KENYAN ALLIANCE INSURANCE ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q1_2026
THE MONARCH INSURANCE ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q1_2026
Amounts in Thousand Shillings,,,,,,,,,,,,,,,,Q1_2026
