Company,Aviation,Engineering,Fire Domestic,Fire Industrial,Liability,Marine,Motor Private,Motor Commercial,Motor Commercial PSV,Personal Accident,Theft,Workmens' Compensation,Medical,Miscellaneous,Total,quarter
MAYFAIR INSURANCE COMPANY,-8811.804512197807,25107.45669425627,-1215.52915162785,-149654.486213551,-18845.9546143275,68368.6447062448,2473.753146293595,6708.945923415743,11461.366,5506.178,-18693.37706881604,56947.41951789895,0.0,152624.8408766011,131977.4533041902,Q1_2026
MUA INSURANCE COMPANY,5205.428733816005,701.0233608975965,-472.454781946002,12998.69656957699,8765.44760882083,13760.48558659741,-57487.47173868206,-38480.4010193319,0.0,-3649.611477197386,-2813.770707541067,-817.8651098249405,-52249.76312090489,4155.770729898164,-110384.4853658213,Q1_2026
NCBA INSURANCE COMPANY,8.155828970114351,-3364.476512109329,4583.188991372012,3953.97878986134,6501.924367370963,601.0818983479005,336.1784581051692,2938.393063689115,0.0,3005.404200969312,13551.39220222623,4146.162424767606,0.0,11.94701013183898,36273.33072370227,Q1_2026
OCCIDENTAL INSURANCE COMPANY ,1579.68922016776,11225.07017043081,4218.608646569098,-85589.7181093415,1764.563479271082,26309.81138938675,19248.02680077434,-137964.768976753,0.0,370.0732205030555,-10134.79418611544,6298.722825876288,0.0,5630.783969802277,-157043.9315494285,Q1_2026
OLD MUTUAL GENERAL INSURANCE ,1106.668964600075,-5499.213833873715,13082.94429243977,-45517.21432608171,-11768.17299278319,-8776.89542100117,-54812.80037730974,-59918.29174599008,0.0,-29983.1224094501,-40421.34679294426,42166.8804141693,-55290.51825087106,-2991.380009678378,-258622.4624887742,Q1_2026
PACIS INSURANCE COMPANY,0.0,-3863.875,3256.937,22364.215,13807.108,23.315,-58126.993,-31588.993,23811.304,-1297.753,-2148.057,-2275.896,10743.34065000013,-2431.685,-27727.03234999987,Q1_2026
PIONEER INSURANCE COMPANY,-465.0364331616438,-1977.573140135105,1215.683085290075,-12623.24143830494,-28033.3729993445,3729.269383117608,46480.57861558032,-54727.24198783809,0.0,-10646.16054627663,-340.7901723554076,7793.435861192557,0.0,5701.696825084865,-43892.75294715089,Q1_2026
SANLAM ALLIANZ GENERAL INSURANCE,0.0,11563.867,11437.857,-10359.462,176806.344,24219.276,-315279.124,119606.181,-117791.968,12139.73375,175285.026,-112875.768,4074.113,-281538.879,-302712.80325,Q1_2026
STAR DISCOVER INSURANCE,37758.53196913045,-10451.43938403511,32.63418945423422,-1476.588683082768,12348.40803644073,196.465818650504,-11832.36467555566,2527.743653748368,0.0,3320.069378275967,4457.875276962495,15353.65804433879,-5822.699633303747,11057.7557722068,57470.04976323106,Q1_2026
TAKAFUL INSURANCE OF AFRICA,0.0,662.9805985418404,103.0014168022622,-1023.82706032598,2016.282635706148,1374.158368672295,-72450.09577337313,58667.49944358839,0.0,88.26747014261741,-453.6844995868057,2884.311197087211,-2308.257754899889,1008.677347313127,-9430.686610331904,Q1_2026
TAUSI ASSURANCE COMPANY,0.0,-2967.06503357011,-10172.18049134212,-69851.05238266093,-2038.591915628993,12076.50208024199,-26449.00824974984,-37755.20572345458,0.0,-827.1022755278875,-20297.9037602109,-5158.903822579384,-250.8515545833436,3609.727648244413,-160081.6354808217,Q1_2026
THE HERITAGE INSURANCE COMPANY,-2726.952,-15764.487,-24953.147,-30065.328,-14025.655,4453.27,8574.013,-64678.329,-1256.663,-21231.957,-27656.167,22773.331,87962.634,3457.691,-75137.746,Q1_2026
THE KENYAN ALLIANCE INSURANCE ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q1_2026
THE MONARCH INSURANCE ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q1_2026
TOTAL,29949.59880313469,-112256.46062096319,18716.192364710154,-799119.9807665531,21254.082864048207,245624.58069838598,-1381283.0381517266,-434196.919883235,-306464.61510740034,-155103.22945275586,380625.0462169205,-438838.3020432617,113764.09237205039,-589526.6559742293,-3406855.608680875,Q1_2026
REINSURERS,,,,,,,,,,,,,,,,Q1_2026
CONTINENTAL REINSURANCE,12152.7816029281,-107464.2876554677,-52717.12830536629,-186273.1570018249,45306.00263247536,153500.5383701404,12315.07402745453,52454.29791949934,0.0,21817.39721013002,-267.9144274622183,1439.353146028834,249581.9650794967,126514.7481504147,328359.6707484469,Q1_2026
EAST AFRICA REINSURANCE ,3761.415044459435,-33588.86341841795,0.0,-104207.7828995173,1965.891446499202,13905.09111009079,0.0,14011.98116621196,0.0,13560.97586352859,0.0,0.0,65863.6988091291,89077.45061821291,64349.85774019673,Q1_2026
GHANA REINSURANCE COMPANY,-1120.757538957366,-6355.772032088667,51273.24128646096,30162.39419312103,16642.9047648213,-15385.6081687536,3433.452694125227,5002.141167401673,0.0,-6871.223394826067,-5204.586464012063,3983.925722794941,-29413.99569973486,28792.22184268399,74938.3383730365,Q1_2026
KENYA REINSURANCE CORPORATION,-51970.86468539057,-21079.34864605195,-89672.24950750149,466849.2153273519,-723.2729222781472,11522.98427984059,-39033.9549598526,-6347.316267469345,0.0,-115128.0480099865,-54427.62397367874,-36715.96893582222,206364.7648396322,118522.4192967084,388160.7358355016,Q1_2026
WAICA REINSURANCE KENYA LIMITED,-163658.4392196234,-858613.8074931003,221798.4407332374,380213.4140562078,139404.4490604255,-114729.886490368,6967.440043725608,-10489.53217045733,824.2844808077721,313933.2818748863,6785.459699850945,46875.71277430491,100156.2387124717,10030.48935086868,79497.5454132376,Q1_2026
TOTAL,-200835.8647965838,-1027102.0792451266,130682.30420683057,586744.0836753385,202595.97498194323,48813.11910095019,-16317.988194547233,54631.5718151863,824.2844808077721,227312.38354373234,-53114.665165302074,15583.02270730647,592552.6717409949,372937.32925888867,935306.1481104194,Q1_2026
Amounts in Thousand Shillings,,,,,,,,,,,,,,,,Q1_2026
