Company,Aviation,Engineering,Fire Domestic,Fire Industrial,Liability,Marine,Motor Private,Motor Commercial,Motor Commercial PSV,Personal Accident,Theft,Workmens' Compensation,Medical,Miscellaneous,Total,Unnamed: 17,quarter
SANLAM INSURANCE COMPANY,0.0,62829.00681,13331.08517,228856.13878,58328.40731,19999.50476000001,200723.0126899999,194847.34522,0.0,5203.26212,16516.118,80027.5806,0.0,2062.982019999999,882724.44348,0.0,Q1_2025
STAR DISCOVER INSURANCE,107191.303,4750.568,133.896,9715.855,463.099,3878.8072,49482.791,15874.219,0.0,342.494,1103.52,9991.249,0.0,1520.8,204448.6012,0.0,Q1_2025
TAKAFUL INSURANCE OF AFRICA,0.0,5886.515,1343.317,17274.174,10997.703,3819.234,75706.198,135486.632,0.0,682.819,12091.045,14240.322,4142.806,2875.306,284546.071,0.0,Q1_2025
TAUSI ASSURANCE COMPANY,0.0,113473.404,47841.345,497069.83425,37972.676,66359.50812,127850.984,118870.716,0.0,7002.651,82960.917,187207.99,1222.86,7145.7712,1294978.65657,0.0,Q1_2025
THE HERITAGE INSURANCE COMPANY,14746.899,38830.88,50128.772,446116.268,85822.58,21590.548,351315.76,176583.49,0.0,80620.504,47323.254,196826.877,1727366.25,116502.139,3353774.221,0.0,Q1_2025
THE KENYAN ALLIANCE INSURANCE ,0.0,3172.97581,867.54524,4124.09444,4161.24509,904.703,166250.6428,53759.75997000003,0.0,2498.339269999999,2749.14711,31806.54413,148425.639,8619.56964,427340.2055,0.0,Q1_2025
THE MONARCH INSURANCE ,0.0,4300.035,453.639,5620.51,1457.851,135.2,343584.11,214681.92,0.0,183.347,922.107,4180.709,0.0,7506.737,583026.165,0.0,Q1_2025
TRIDENT INSURANCE COMPANY ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q1_2025
TOTAL,1372530.6573700001,2330757.450018339,692929.3422944245,8470200.709889458,1946241.3698221098,1411126.4552857298,8757663.189061608,7620755.075931542,1380885.4011000001,906522.4789371159,2599860.7728960426,3641853.670576742,32293196.311914846,1356282.2936914917,74780805.17878947,,Q1_2025
REINSURERS,,,,,,,,,,,,,,,,,Q1_2025
CONTINENTAL REINSURANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q1_2025
EAST AFRICA REINSURANCE ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q1_2025
GHANA REINSURANCE COMPANY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q1_2025
KENYA REINSURANCE CORPORATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q1_2025
WAICA REINSURANCE KENYA LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q1_2025
TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Q1_2025
Amounts in Thousand Shillings,,,,,,,,,,,,,,,,,Q1_2025
AAR INSURANCE KENYA,0.0,553.1536300000001,883.0247599999999,6400.36022,11013.58571,1162.88947,831.8348800000001,991.7484000000001,0.0,4159.711240000001,4056.608520000001,31265.15454,3608864.19921,15724.2507,3685906.521279999,,Q1_2026
AFRICAN MERCHANT ASSURANCE ,0.0,9884.9031,180.28551,999.2994300000001,17424.30557,1460.3095,130767.3584,419049.11788,206347.65371,6290.48384,933.29363,39521.21316,0.0,15441.11932,848299.3430499999,,Q1_2026
